country_short;website;fax_stg;group;name;twitter;url;country;image;email;group_short;facebook;party;id;fax_bxl;score
cz;http://www.pavelsvoboda.com/;33388179303;Group of the European People's Party (Christian Democrats);Pavel SVOBODA;1PavelSvoboda;http://www.europarl.europa.eu/meps/en/96272/PAVEL_SVOBODA_home.html;Czech Republic;http://www.europarl.europa.eu/mepphoto/96272.jpg;pavel.svoboda@europarl.europa.eu;epp;https://www.facebook.com/svobodakdu;K_es_anská a demokratická unie - _eskoslovenská strana lidová;96272;3222849303;0.8
fr;;33388179568;Non-attached Members;Aymeric CHAUPRADE;a_chauprade;http://www.europarl.europa.eu/meps/en/124752/AYMERIC_CHAUPRADE_home.html;France;http://www.europarl.europa.eu/mepphoto/124752.jpg;aymeric.chauprade@europarl.europa.eu;ni;;Front national;124752;3222849568;0.1
nl;;33388179699;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Agnes JONGERIUS;a_jongerius;http://www.europarl.europa.eu/meps/en/125021/AGNES_JONGERIUS_home.html;Netherlands;http://www.europarl.europa.eu/mepphoto/125021.jpg;agnes.jongerius@europarl.europa.eu;sd;;Partij van de Arbeid;125021;3222849699;0.3
it;;33388179517;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Andrea COZZOLINO;ACozzolino;http://www.europarl.europa.eu/meps/en/96880/ANDREA_COZZOLINO_home.html;Italy;http://www.europarl.europa.eu/mepphoto/96880.jpg;andrea.cozzolino@europarl.europa.eu;sd;https://www.facebook.com/paginaufficialecozzolino;Partito Democratico;96880;3222849517;0.3
pl;http://www.adam.gierek.eu/;33388179781;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Adam GIEREK;AdamGierek;http://www.europarl.europa.eu/meps/en/28379/ADAM_GIEREK_home.html;Poland;http://www.europarl.europa.eu/mepphoto/28379.jpg;adam.gierek@europarl.europa.eu;sd;;Unia Pracy;28379;3222849781;0.3
hu;http://www.kosaadam.hu/;33388179208;Group of the European People's Party (Christian Democrats);Ádám KÓSA;adamkosamep;http://www.europarl.europa.eu/meps/en/96829/ADAM_KOSA_home.html;Hungary;http://www.europarl.europa.eu/mepphoto/96829.jpg;adam.kosa@europarl.europa.eu;epp;https://www.facebook.com/adamkosamep;Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt;96829;3222849208;0.8
ro;http://www.valean.eu/;33388179861;Group of the European People's Party (Christian Democrats);Adina-Ioana V_LEAN;AdinaValean;http://www.europarl.europa.eu/meps/en/37324/ADINA-IOANA_VALEAN_home.html;Romania;http://www.europarl.europa.eu/mepphoto/37324.jpg;adinaioana.valean@europarl.europa.eu;epp;https://www.facebook.com/AdinaValeanMEP;Partidul Na_ional Liberal;37324;3222849861;0.8
gb;;33388179437;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Afzal KHAN;akhanmep;http://www.europarl.europa.eu/meps/en/124962/AFZAL_KHAN_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/124962.jpg;afzal.khan@europarl.europa.eu;sd;;Labour Party;124962;3222849437;0.3
fr;http://www.alain-cadec.org;33388179765;Group of the European People's Party (Christian Democrats);Alain CADEC;AlainCadec;http://www.europarl.europa.eu/meps/en/96849/ALAIN_CADEC_home.html;France;http://www.europarl.europa.eu/mepphoto/96849.jpg;alain.cadec@europarl.europa.eu;epp;http://www.facebook.com/acadec;Union pour un Mouvement Populaire;96849;3222849765;0.8
fr;http://www.alainlamassoure.eu/;33388179706;Group of the European People's Party (Christian Democrats);Alain LAMASSOURE;ALamassoure;http://www.europarl.europa.eu/meps/en/1204/ALAIN_LAMASSOURE_home.html;France;http://www.europarl.europa.eu/mepphoto/1204.jpg;alain.lamassoure@europarl.europa.eu;epp;https://www.facebook.com/lamassoure;Union pour un Mouvement Populaire;1204;3222849706;0.8
de;http://www.albert-dess.de;33388179231;Group of the European People's Party (Christian Democrats);Albert DESS;Albert_Dess_MEP;http://www.europarl.europa.eu/meps/en/28228/ALBERT_DESS_home.html;Germany;http://www.europarl.europa.eu/mepphoto/28228.jpg;albert.dess@europarl.europa.eu;epp;https://www.facebook.com/pages/Albert-Dess/143026019041687;Christlich-Soziale Union in Bayern e.V.;28228;3222849231;0.8
it;http://www.albertocirio.it/;33388179259;Group of the European People's Party (Christian Democrats);Alberto CIRIO;Alberto_Cirio;http://www.europarl.europa.eu/meps/en/124772/ALBERTO_CIRIO_home.html;Italy;http://www.europarl.europa.eu/mepphoto/124772.jpg;alberto.cirio@europarl.europa.eu;epp;https://www.facebook.com/alberto.cirioii;Forza Italia;124772;3222849259;0.8
it;;33388179521;Group of the European People's Party (Christian Democrats);Alessandra MUSSOLINI;Ale_Mussolini_;http://www.europarl.europa.eu/meps/en/28429/ALESSANDRA_MUSSOLINI_home.html;Italy;http://www.europarl.europa.eu/mepphoto/28429.jpg;alessandra.mussolini@europarl.europa.eu;epp;https://www.facebook.com/pages/Alessandra-Mussolini/112768975401869;Forza Italia;28429;3222849521;0.8
it;http://www.alessiamosca.it/;33388179746;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Alessia Maria MOSCA;alessiamosca;http://www.europarl.europa.eu/meps/en/124868/ALESSIA+MARIA_MOSCA_home.html;Italy;http://www.europarl.europa.eu/mepphoto/124868.jpg;alessia.mosca@europarl.europa.eu;sd;;Partito Democratico;124868;3222849746;0.3
gb;;33388179187;Group of the Greens/European Free Alliance;Alyn SMITH;Alynsmithmep;http://www.europarl.europa.eu/meps/en/28508/ALYN_SMITH_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/28508.jpg;alyn.smith@europarl.europa.eu;greensefa;http://www.facebook.com/home.php#!/pages/Alyn-Smith-MEP/192295170796998;Scottish National Party;28508;3222849187;0.1
gb;;33388179319;European Conservatives and Reformists Group;Amjad BASHIR;AmjadBashirMEP;http://www.europarl.europa.eu/meps/en/124956/AMJAD_BASHIR_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/124956.jpg;amjad.bashir@europarl.europa.eu;ecr;;Conservative Party;124956;3222849319;0.1
pt;http://www.anagomes.eu;33388179824;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Ana GOMES;AnaGomesMEP;http://www.europarl.europa.eu/meps/en/28306/ANA_GOMES_home.html;Portugal;http://www.europarl.europa.eu/mepphoto/28306.jpg;anamaria.gomes@europarl.europa.eu;sd;https://www.facebook.com/pages/Ana-Gomes/199168490096879;Partido Socialista;28306;3222849824;0.3
dk;;33388179859;European Conservatives and Reformists Group;Anders Primdahl VISTISEN;AndersVistisen;http://www.europarl.europa.eu/meps/en/124875/ANDERS+PRIMDAHL_VISTISEN_home.html;Denmark;http://www.europarl.europa.eu/mepphoto/124875.jpg;anders.vistisen@europarl.europa.eu;ecr;;Dansk Folkeparti;124875;3222849859;0.1
de;http://www.andreas-schwab.de/;33388179938;Group of the European People's Party (Christian Democrats);Andreas SCHWAB;Andreas_Schwab;http://www.europarl.europa.eu/meps/en/28223/ANDREAS_SCHWAB_home.html;Germany;http://www.europarl.europa.eu/mepphoto/28223.jpg;andreas.schwab@europarl.europa.eu;epp;https://www.facebook.com/dr.andreas.schwab.mdep;Christlich Demokratische Union Deutschlands;28223;3222849938;0.8
hr;http://www.andrejplenkovic.hr/;33388179955;Group of the European People's Party (Christian Democrats);Andrej PLENKOVI_;AndrejPlenkovic;http://www.europarl.europa.eu/meps/en/112755/ANDREJ_PLENKOVIC_home.html;Croatia;http://www.europarl.europa.eu/mepphoto/112755.jpg;andrej.plenkovic@europarl.europa.eu;epp;https://www.facebook.com/andrej.plenkovic.rh#!/andrej.plenkovic.rh;Hrvatska demokratska zajednica;112755;3222849955;0.8
bg;http://www.andrey-kovatchev.eu;33388179662;Group of the European People's Party (Christian Democrats);Andrey KOVATCHEV;andreykovatchev;http://www.europarl.europa.eu/meps/en/97968/ANDREY_KOVATCHEV_home.html;Bulgaria;http://www.europarl.europa.eu/mepphoto/97968.jpg;andrey.kovatchev@europarl.europa.eu;epp;http://www.facebook.com/pages/Andrey-Kovatchev/133004451640;Citizens for European Development of Bulgaria;97968;3222849662;0.8
bg;;33388179710;Group of the European People's Party (Christian Democrats);Andrey NOVAKOV;andreynovakov;http://www.europarl.europa.eu/meps/en/107212/ANDREY_NOVAKOV_home.html;Bulgaria;http://www.europarl.europa.eu/mepphoto/107212.jpg;andrey.novakov@europarl.europa.eu;epp;https://www.facebook.com/andrey.novakov;Citizens for European Development of Bulgaria;107212;3222849710;0.8
fr;;33388179170;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Eric ANDRIEU;ANDRIEU11;http://www.europarl.europa.eu/meps/en/113892/ERIC_ANDRIEU_home.html;France;http://www.europarl.europa.eu/mepphoto/113892.jpg;eric.andrieu@europarl.europa.eu;sd;;Parti socialiste;113892;3222849170;0.3
